x,y,z,T
0.0210746322,-0.0325422473,-82.8623962,0
0.0281930156,-0.0157991629,-4.01047802,0
0.00596955046,0.028357001,-0.987396777,0
-0.0197802875,0.0186205897,-25.7285595,0
-0.00833938457,-0.0193148721,102.720451,0
0.00919397548,0.0161150787,78.9771729,0
0.0098847663,-0.0287217256,-23.4483566,0
-0.0349210948,-0.0153697999,-75.3708649,0
0.0148570612,-0.00637961458,23.7085857,0
-0.000650560076,0.0040435032,25.5849533,0
0.0168943275,0.0292912275,-7.21604776,0
0.0101301614,0.0119750984,49.5774345,0
0.0014514589,0.00388876139,-107.17746,0
0.0312713459,0.0142261665,-63.6466064,0
-0.0408057757,-0.0225802716,31.4807816,0
-0.0165520217,-0.0318615213,-41.4092369,0
0.004042855,-0.0268258322,30.732666,0
0.0056548724,0.0109287603,15.323678,0
-0.0185900573,0.0320525318,133.932159,0
0.0105287693,-0.0130561311,-121.609329,0
-0.0052149361,-0.0133584095,17.4725838,0
-0.0107453978,0.0452355221,-13.2877359,0
-0.0100424625,0.0329649262,-24.0182362,0
0.0183349755,0.00352627737,-30.5418949,0
0.00905536022,0.00920286123,-31.8215008,0
0.02121564,-0.00495852856,40.0839996,0
0.00573309278,-0.00920217391,-36.1518631,0
-0.00354874902,0.030727366,9.35194397,0
-0.00328145223,0.00264771073,-12.0125847,0
0.00850478746,-0.00835732743,-93.4290009,0
-0.0242659878,0.0189448819,52.3148041,0
-0.0438964739,-0.00120426877,-37.2995453,0
0.00443644496,-0.00751375081,-0.666594207,0
0.00633230107,-0.0240224376,141.268753,0
0.0368366316,0.0149055729,-37.8318558,0
-0.00491323369,0.0189923532,10.1029034,0
0.0315758102,0.0161487758,72.6442184,0
0.0114443591,0.013370648,55.4893112,0
0.0290233679,-0.045009166,0.955138862,0
-0.0738211796,0.0178399831,39.7482338,0
-0.000487418612,9.58321398e-05,-44.9319572,0
-0.0380562879,-0.0398670025,39.2282028,0
-0.0354960039,0.0180347189,-43.3548164,0
-0.0178682506,-0.0151976896,5.74808931,0
0.0747330263,-0.0997361764,-101.118454,0
0.0279526003,-0.0732816011,-29.8525219,0
-0.0241161138,0.014193262,14.8352356,0
0.0240238477,0.0589849241,62.5277939,0
-0.0530274287,-0.0491786562,-31.3859291,0
-0.055415716,-0.00551675167,-32.0368156,0
0.0132958274,0.0686421022,-76.7923508,0
0.0471409224,-0.0456957966,-1.79171312,0
-0.034303233,0.00466313539,-2.21773577,0
0.0488202199,-0.0142312972,-40.9425659,0
0.0493506752,-0.0470893197,65.2714996,0
0.0358794183,-0.024084622,-70.0030823,0
-0.0329798087,0.0404826663,-46.7356949,0
-0.00356397196,0.0114205312,0.627733469,0
-0.0390075631,-0.0108101526,-54.2804489,0
-0.0153320385,-0.0544306748,69.9152222,0
-0.346266717,0.027462814,10.6178923,0
-0.0140863592,-0.0845716298,-69.1320724,0
0.0169866662,-0.0291558523,58.723999,0
-0.0424710661,0.0310628433,-52.6932526,0
-0.14583832,-0.0172739103,48.4786377,0
0.00870748702,0.101764336,101.349335,0
-0.0548466109,-0.033588212,-78.9922028,0
-0.0854438022,-0.113007665,40.5211868,0
0.0245454945,-0.0974853411,2.26622033,0
0.0421219096,-0.0315246023,-35.6174164,0
0.143876463,0.111670271,-20.869875,0
